TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
2016,ISR,29.1772991440758,23.1372446766082
2016,JPN,,12.6548018146652
2016,KOR,,23.5
2016,MEX,19.4557317680396,16.0909448448155
2016,NZL,,11.1882100369871
2016,OECD,22.3619687734409,14.4066357158684
2016,POL,,21.6711741344444
2016,SVK,,19
2016,USA,,24.9077324691691
2017,AUS,,15.0616443644929
2017,AUT,20.7899879587043,15.1370649130179
2017,BEL,13.8,5.5
2017,CAN,22.5056582544189,22.0107809846944
2017,CHL,27.8132400336548,10.5680614627341
2017,COL,25.1622828939878,10.3074811426026
2017,CRI,17.0861841097199,12.7954015872959
2017,CZE,,19.8700023844003
2017,DEU,19.1190933637085,18.2056400574646
2017,DNK,2.77045063700346,8.51944995079203
2017,FIN,17.3007415320097,7.55308566616365
2017,GBR,,18.9763654629091
2017,HUN,,15.72
2017,ISR,28.5636805449234,22.6269826055933
2017,JPN,,12.3226056884127
2017,KOR,,22.3
2017,MEX,21.0684626597538,13.322849165503
2017,NZL,,12.0915964829274
2017,OECD,22.3585991085555,14.0164756986677
2017,SVK,,17.9997613199114
2017,USA,,24.503182632801
2018,AUS,,15.4324258284697
2018,AUT,20.8102233823954,14.9266828183379
2018,BEL,11.9,9.2
2018,CAN,22.1761150545507,20.6792952745909
2018,CHE,,12.12
2018,COL,24.8986146999929,9.71691400010243
2018,CRI,16.7450920604095,11.7360061615371
2018,CZE,,19.6800025584003
2018,DEU,18.8073612745168,17.8328181659835
2018,DNK,2.82891178544695,8.72529216888955
2018,ESP,25.9998738677528,10.8253968253968
2018,EST,20.9988873632877,19.7083333333333
2018,FIN,16.9503685072218,7.31696261103491
2018,FRA,20.9999743389844,7.73563218390804
2018,GBR,,18.961052687206
2018,GRC,25.9999731364362,16.4285714285714
2018,HUN,,15.97
2018,IRL,27.9996289584951,14.9027777777777
2018,ISL,20.9986535631992,7.5986394557823
2018,ISR,27.8142442939095,22.4082574248894
2018,ITA,18.9999283851775,3.71171171171171
2018,JPN,15.6717290600288,12.1153969378755
2018,KOR,,19.0435686183441
2018,LTU,22.9990396927016,21.6333333333333
2018,LUX,23.9998659531248,11.0833333333333
2018,LVA,24.9995262659227,21.9333333333333
2018,MEX,20.6513688469388,15.6608104442524
2018,NLD,28.9994986606007,6.36781609195402
2018,NZL,,8.50455856757083
2018,OECD,21.9442982581245,13.8411301586413
2018,POL,,21.1092911740968
2018,PRT,27.9999723069796,4.16
2018,SVK,,18
2018,SVN,21.9997492425034,17.0555555555555
2018,TUR,28.9997000643764,0.96424452133794
2018,USA,,24.065
2019,AUS,,15.4576924077978
2019,AUT,20.6072527416642,14.7446410862766
2019,BEL,12.6,11.5
2019,CAN,22.6855205722467,19.3774776501261
2019,COL,25.0226447265986,11.6770275489911
2019,CRI,18.5117140504475,11.5935366864103
2019,CZE,,18.36
2019,DEU,18.7002408168102,17.6354643612952
2019,ESP,27.1307955237436,10.1527919111628
2019,EST,20.1449790569554,20.2950256627837
2019,FIN,16.9999108202292,8.62715571672965
2019,FRA,22.3992890299346,6.30511786175288
2019,GBR,,18.06
2019,GRC,26.579663138492,15.8258168369903
2019,HUN,,20.2640643336244
2019,IRL,27.2537072236866,17.9795540804576
2019,ISR,28.2604032464915,21.2581819380243
2019,ITA,20.4785428789948,3.31948634584605
2019,JPN,12.4821246630059,11.7871279540516
2019,KOR,,16.9620432415201
2019,LTU,22.846567202074,20.6722345445027
2019,LVA,25.9133828172475,22.2125517941585
2019,MEX,17.6158282378656,17.0770212212024
2019,NLD,28.1387962896452,6.48978277319179
2019,NZL,,7.01
2019,OECD,22.8399550736871,14.0553730334348
2019,PRT,26.9914452856352,2.69694547181434
2019,SVK,,16
2019,USA,,23.3798816165465
2020,AUT,20.6248576069142,14.6743424195433
2020,BEL,12.7,12
2020,CAN,21.603937512881,18.6743125446917
2020,CHE,,12
2020,CHL,32.5276936419813,11.8127939266789
2020,COL,25.3030899694619,12.7986009398489
2020,CRI,18.2618285475336,14.3893504053525
2020,CZE,,17.77
2020,DEU,18.6247683568663,16.9838728085733
2020,ESP,24.9375476337716,8.94247328302915
2020,EST,19.3720606945628,19.5777723202502
2020,FRA,23.0635071951469,5.27460188839373
2020,GBR,,18.02
2020,GRC,28.1321657583379,12.1113601708027
2020,HUN,,19.8492493776121
2020,ISR,27.31339412879,25.1381588849397
2020,ITA,21.0009125402914,3.638291456823
2020,JPN,12.409234932223,10.88446642216
2020,KOR,,15.96146924446
2020,LTU,22.0276955107722,21.6937713309538
2020,LVA,26.2362320052579,21.7366908524853
2020,MEX,19.5976454217054,16.8500070612345
2020,NLD,28.3322332607527,5.90154858565998
2020,NZL,,8.26
2020,OECD,23.0382207417611,14.0822738906733
2020,POL,,18.8
2020,PRT,28.761672495581,5.34319818271103
2020,SVK,,16
2020,USA,,23.81
2021,AUT,20.3948199733399,14.9569576909318
2021,CAN,20.7086011498848,19.543631583376
